;;;;;;;;;;
Нуклид;E, кэВ;?E, кэВ;?E,%;ПШПВ, кэВ;Sимп;?Sимп;?Sимп, %;Sполн,;?, отн. ед.;??, отн. ед
Am-241;59.541;2.4;4.03;0.71;208030;501;0.24;217650;0.0059;0.0002
Ba-133;80.998;2.7;3.38;1.08;500537;812;0.16;548468;0.0127;0.0004
Eu-152;121.78;1.8;1.44;0.84;253125;527;0.21;266717;0.0153;0.0005
Eu-152;244.7;2;0.81;0.97;44904;238;0.53;50509;0.0103;0.0003
Ba-133;276.3989;2.2;0.79;1.39;76845;309;0.4;84307;0.009;0.0003
Ba-133;302.8508;2.2;0.72;1.43;176929;457;0.26;189764;0.0081;0.0002
Eu-152;344.28;2.2;0.64;1.06;114245;353;0.31;118568;0.0074;0.0002
Ba-133;356.0129;2.4;0.68;0.33;510933;761;0.15;535147;0.0069;0.0002
Ba-133;383.8485;2.4;0.63;1.55;67554;283;0.42;72104;0.0063;0.0002
Eu-152;411.11;2.2;0.53;1.12;8036;125;1.56;11120;0.0062;0.0002
Eu-152;443.98;2.2;0.49;1.14;10042;133;1.32;13112;0.0062;0.0002
Eu-152;778.91;2.6;0.34;1.38;23899;184;0.77;27112;0.0032;0.0001
Eu-152;867.39;2.8;0.33;1.46;7070;135;1.91;10270;0.0029;0.0001
Eu-152;964.13;2.8;0.3;1.51;22174;168;0.76;23961;0.0026;0.0001
Eu-152;1085.837;4.9;0.45;1.57;16711;180;1.08;19118;0.0028;0.0001
Eu-152;1112.1;3.1;0.28;1.57;18160;161;0.89;20209;0.0023;0.0001
Eu-152;1212.9;3.1;0.25;1.64;1709;72;4.21;2652;0.0021;0.0001
Eu-152;1408.01;3.3;0.23;1.84;22893;157;0.69;23337;0.0019;0.0001
