Время;Центр;Центр;ОЭС Центра;;;;;;;;;;;
Дата;Индекс;Индекс;Покупка;Продажа;ТГ;Пр-во АЭС;Пр-во ГЭС;Пр-во ТЭС;Темп.;План Ген;План Потр;Факт Ген;Факт Потр;Потребление
09.2012;1 128.13;1 128.13;16 220 644;18 193 241;18 193 258.623;6 917 264.000;217 143.000;11 058 851.623;12.95;17 996 740;16 821 598;17 945 759;16 788 347;10 319 069.79
10.2012;1 052.97;1 052.97;18 698 182;20 709 976;20 709 976.780;7 745 874.312;240 810.000;12 723 292.468;6.97;20 657 210;19 398 803;20 641 484;19 441 188;17 517 765.85
11.2012;986.26;986.26;19 805 780;21 966 845;21 966 828.242;8 606 128.280;323 585.800;13 037 114.162;1.27;21 898 955;20 335 279;21 709 308;20 372 905;18 423 356.07
12.2012;1 004.77;1 004.77;22 285 443;24 508 574;24 508 572.539;8 803 857.159;301 283.000;15 403 432.380;-8.93;24 555 886;23 101 937;24 323 090;23 128 659;20 839 405.18
01.2013;935.83;935.83;21 454 105;23 710 662;23 710 647.017;9 051 515.009;280 233.800;14 378 898.208;-9.04;23 699 115;22 135 422;23 498 042;22 107 547;20 725 348.01
02.2013;1 008.67;1 008.67;19 284 094;21 173 266;21 173 253.027;8 201 332.598;295 060.400;12 676 860.029;-4.55;21 107 736;19 804 329;20 947 520;19 730 318;18 610 488.76
03.2013;1 011.53;1 011.53;20 948 818;22 254 984;22 254 963.014;7 315 235.332;215 586.486;14 724 141.196;-7.15;22 288 267;21 583 753;22 297 189;21 606 080;14 218 150.58
04.2013;1 042.60;1 042.60;18 068 440;18 758 726;18 758 727.926;6 565 675.000;332 784.000;11 860 268.926;5.71;18 638 649;18 417 273;18 622 002;18 398 166;18 068 436.13
05.2013;1 013.95;1 013.95;15 962 558;16 139 846;16 139 825.382;6 541 599.000;377 386.400;9 220 839.982;16.83;15 938 661;16 330 111;15 995 657;16 419 748;14 976 156.95
06.2013;1 097.52;1 097.52;15 565 572;16 217 733;16 217 723.339;6 808 443.243;248 219.768;9 161 060.328;19.13;16 014 655;15 941 556;16 041 528;15 991 166;15 565 575.71
07.2013;1 291.44;1 291.44;16 403 369;16 912 197;16 912 199.594;5 992 019.453;288 815.200;10 631 364.941;18.77;16 703 678;16 663 763;16 691 212;16 644 876;16 403 376.22
08.2013;1 316.51;1 316.51;16 381 242;17 305 549;17 305 557.053;6 328 475.132;260 667.720;10 716 414.201;18.17;17 157 575;16 738 297;17 008 373;16 760 675;16 381 243.41
09.2013;1 221.73;1 221.73;17 049 597;18 146 328;18 146 339.179;6 803 173.000;173 835.040;11 169 331.139;10.32;18 198 952;17 748 895;18 181 096;17 869 583;17 049 602.88
10.2013;1 181.86;1 181.86;19 674 010;20 849 360;20 849 352.351;7 070 075.548;233 771.000;13 545 505.803;6.23;20 799 446;20 204 375;20 688 045;20 077 492;19 674 016.54
11.2013;1 097.03;1 097.03;19 493 421;20 420 587;20 420 598.063;7 882 075.384;239 461.400;12 299 061.279;3.64;20 305 343;19 877 597;20 238 280;19 895 251;18 802 773.95
12.2013;1 079.20;1 079.20;21 756 650;23 144 705;23 144 690.769;9 139 448.270;284 040.200;13 721 202.299;-2.38;23 029 122;22 239 885;22 921 841;22 173 984;21 756 652.07
01.2014;1 097.49;1 097.49;21 751 559;23 268 485;23 268 469.371;8 497 537.000;327 437.400;14 443 494.971;-9.54;23 081 919;22 173 164;23 067 691;22 239 804;21 751 563.67
02.2014;1 114.29;1 114.29;19 675 207;21 155 292;21 155 306.766;7 512 370.000;288 227.800;13 354 708.966;-2.85;21 032 407;20 044 169;20 833 759;19 980 245;19 675 215.42
03.2014;1 095.82;1 095.82;19 835 441;20 400 144;20 400 147.876;7 894 595.000;272 817.600;12 232 735.276;1.99;20 187 181;20 219 941;20 096 117;20 229 449;19 835 447.40
04.2014;1 138.39;1 138.39;18 056 572;17 923 086;17 923 078.995;6 986 829.000;188 913.600;10 747 336.395;6.74;17 720 378;18 383 807;17 722 644;18 389 269;18 056 584.03
05.2014;1 183.27;1 183.27;16 436 343;16 113 583;16 113 597.289;6 957 988.135;212 013.200;8 943 595.954;15.89;15 881 042;16 809 184;15 961 405;16 922 274;15 354 855.32
06.2014;1 283.39;1 283.39;15 848 440;16 637 543;16 637 532.318;7 297 406.400;227 362.000;9 112 763.918;15.98;16 422 557;16 148 350;16 550 727;16 155 157;15 848 447.52
07.2014;1 218.61;1 218.61;16 568 770;17 315 501;17 315 515.399;7 485 611.005;195 543.200;9 634 361.194;20.43;17 071 424;16 923 787;17 057 658;16 926 328;16 568 760.20
08.2014;1 229.79;1 229.79;16 732 320;17 852 788;17 852 761.103;7 330 830.000;197 658.200;10 324 272.903;19.10;17 721 102;17 257 285;17 818 919;17 197 322;16 732 321.19
09.2014;1 190.12;1 190.12;16 726 733;18 636 837;18 636 838.979;7 821 733.600;205 129.800;10 609 975.579;12.19;18 611 490;17 366 973;18 607 257;17 311 085;16 726 743.72
10.2014;1 086.23;1 086.23;19 877 911;22 118 622;22 118 615.559;9 255 406.183;206 395.850;12 656 813.526;3.48;22 066 943;20 583 225;22 118 061;20 550 030;19 199 414.99
11.2014;1 079.13;1 079.13;20 323 663;21 786 686;21 786 686.438;8 330 800.909;214 702.600;13 241 182.929;-1.81;21 772 215;20 979 632;21 832 230;20 998 307;19 649 110.67
12.2014;1 066.07;1 066.07;22 221 229;24 464 782;24 464 788.160;9 236 895.523;222 885.000;15 005 007.637;-4.29;24 411 307;22 912 798;24 368 054;22 837 743;22 221 236.98
01.2015;988.98;988.98;21 462 733;23 447 110;23 447 108.992;9 653 907.988;223 133.800;13 570 067.204;-5.15;23 347 256;22 036 075;23 373 124;22 047 358;21 462 732.32
02.2015;1 105.70;1 105.70;19 663 549;21 410 140;21 410 146.064;8 532 385.000;208 491.160;12 669 269.904;-3.06;21 124 542;20 004 613;21 087 375;19 969 139;19 663 546.07
03.2015;1 131.37;1 131.37;20 317 830;21 355 761;21 355 751.428;9 165 244.786;230 607.720;11 959 898.922;1.32;21 080 985;20 586 838;21 073 272;20 625 403;20 317 834.24
